iter	Passed	Remaining
0	281	281423
1	393	196566
2	559	186013
3	717	178682
4	868	172919
5	1006	166682
6	1174	166601
7	1303	161670
8	1449	159609
9	1615	159924
10	1783	160335
11	1905	156913
12	2021	153454
13	2168	152710
14	2338	153588
15	2524	155271
16	2681	155061
17	2841	155013
18	2987	154236
19	3133	153522
20	3322	154878
21	3499	155577
22	3648	154965
23	3792	154215
24	3977	155129
25	4170	156223
26	4338	156347
27	4495	156042
28	4651	155752
29	4815	155716
30	4985	155843
31	5154	155919
32	5339	156453
33	5536	157302
34	5706	157330
35	5869	157172
36	6012	156484
37	6176	156370
38	6340	156224
39	6503	156086
40	6664	155894
41	6818	155524
42	6976	155256
43	7165	155686
44	7327	155503
45	7462	154761
46	7627	154656
47	7786	154438
48	7912	153565
49	8084	153606
50	8243	153400
51	8406	153261
52	8531	152445
53	8670	151891
54	8865	152327
55	9004	151786
56	9162	151584
57	9343	151746
58	9485	151281
59	9646	151127
60	9812	151050
61	9961	150710
62	10129	150657
63	10276	150299
64	10420	149887
65	10578	149696
66	10716	149230
67	10873	149035
68	11048	149070
69	11227	149161
70	11378	148878
71	11537	148702
72	11690	148454
73	11850	148293
74	12025	148312
75	12175	148032
76	12319	147674
77	12468	147383
78	12622	147155
79	12767	146831
80	12927	146672
81	13107	146743
82	13242	146304
83	13360	145695
84	13522	145563
85	13666	145243
86	13803	144856
87	13928	144350
88	14072	144041
89	14237	143955
90	14423	144072
91	14609	144188
92	14764	143992
93	14917	143779
94	15056	143428
95	15238	143493
96	15400	143367
97	15559	143212
98	15705	142937
99	15874	142866
100	16026	142652
101	16182	142471
102	16329	142210
103	16505	142201
104	16683	142203
105	16827	141918
106	16969	141625
107	17130	141481
108	17284	141292
109	17406	140832
110	17531	140413
111	17691	140272
112	17833	139982
113	17985	139779
114	18105	139330
115	18232	138945
116	18385	138755
117	18539	138576
118	18654	138105
119	18770	137652
120	18926	137494
121	19085	137350
122	19222	137060
123	19382	136929
124	19562	136934
125	19704	136680
126	19827	136297
127	19947	135893
128	20081	135587
129	20236	135428
130	20387	135244
131	20529	134999
132	20657	134658
133	20786	134339
134	20910	133980
135	21072	133875
136	21242	133814
137	21379	133546
138	21521	133309
139	21705	133331
140	21848	133108
141	21975	132779
142	22108	132497
143	22258	132312
144	22426	132238
145	22537	131826
146	22697	131706
147	22810	131315
148	22948	131067
149	23062	130689
150	23186	130369
151	23307	130033
152	23432	129723
153	23570	129485
154	23754	129500
155	23880	129200
156	24007	128905
157	24156	128733
158	24297	128517
159	24437	128297
160	24580	128091
161	24673	127634
162	24830	127501
163	24972	127300
164	25065	126844
165	25219	126704
166	25341	126404
167	25513	126351
168	25655	126152
169	25773	125836
170	25886	125496
171	26079	125544
172	26209	125291
173	26326	124977
174	26485	124860
175	26594	124508
176	26723	124255
177	26845	123971
178	26996	123821
179	27134	123610
180	27257	123337
181	27369	123012
182	27495	122753
183	27648	122613
184	27777	122369
185	27886	122041
186	28044	121924
187	28167	121659
188	28300	121436
189	28407	121105
190	28547	120917
191	28672	120663
192	28792	120393
193	28935	120215
194	29049	119923
195	29190	119741
196	29345	119616
197	29495	119470
198	29590	119104
199	29712	118849
200	29869	118733
201	29961	118361
202	30092	118146
203	30234	117973
204	30355	117719
205	30491	117526
206	30639	117377
207	30752	117095
208	30893	116923
209	31036	116757
210	31185	116614
211	31347	116517
212	31502	116398
213	31651	116254
214	31751	115929
215	31898	115779
216	31990	115429
217	32116	115208
218	32253	115023
219	32369	114765
220	32493	114536
221	32625	114334
222	32775	114201
223	32911	114014
224	33033	113781
225	33180	113634
226	33302	113403
227	33454	113275
228	33573	113036
229	33703	112834
230	33816	112575
231	33943	112364
232	34075	112170
233	34243	112096
234	34348	111816
235	34465	111574
236	34558	111256
237	34695	111085
238	34835	110919
239	34974	110751
240	35096	110530
241	35239	110377
242	35390	110248
243	35503	110002
244	35623	109778
245	35744	109559
246	35893	109424
247	36022	109228
248	36114	108923
249	36222	108667
250	36345	108457
251	36476	108272
252	36581	108009
253	36713	107827
254	36817	107564
255	36965	107431
256	37094	107241
257	37202	106994
258	37349	106857
259	37485	106689
260	37619	106516
261	37749	106331
262	37877	106142
263	38018	105991
264	38115	105715
265	38230	105493
266	38353	105292
267	38494	105142
268	38612	104929
269	38749	104767
270	38908	104665
271	39083	104606
272	39263	104559
273	39380	104344
274	39520	104189
275	39667	104055
276	39796	103872
277	39930	103704
278	40050	103499
279	40210	103397
280	40342	103223
281	40490	103093
282	40610	102888
283	40746	102726
284	40857	102501
285	40992	102338
286	41117	102149
287	41261	102008
288	41383	101811
289	41489	101577
290	41603	101363
291	41718	101152
292	41850	100984
293	41974	100796
294	42104	100622
295	42217	100408
296	42339	100218
297	42464	100033
298	42586	99842
299	42703	99640
300	42831	99466
301	42952	99273
302	43059	99050
303	43169	98836
304	43290	98646
305	43413	98461
